# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1442
#@/user_id	31a921d8-4640-4969-8b5f-c299ee633f24
a 	啊	c=2 d=1.93605 t=1442
an 	按	c=0 d=0.0985112 t=1442
ba 	把	c=1 d=0.980199 t=1442
ba ta 	把它	c=1 d=0.918512 t=1442
bai fen bi 	百分比	c=1 d=0.927743 t=1442
ban ben 	版本	c=8 d=5.87649 t=1442
bao 	保	c=1 d=0.985112 t=1442
bao bing 	保冰	c=1 d=0.882497 t=1442
bao han 	包含	c=2 d=1.21462 t=1442
bao han zai 	包含在	c=1 d=0.860708 t=1442
bao liu 	保留	c=2 d=1.51535 t=1442
bei 	被	c=2 d=1.54641 t=1442
ben 	本	c=1 d=0.63322 t=1442
ben di 	本地	c=1 d=0.946485 t=1442
ben shi yan 	本實驗	c=1 d=0.565525 t=1442
ben ti 	本體	c=1 d=0.980199 t=1442
bi 	比	c=4 d=1.09984 t=1442
bi jiao 	比較	c=2 d=1.02527 t=1442
bi qi 	比起	c=1 d=0.715338 t=1442
bi ta 	比他	c=1 d=1 t=1442
bi xu 	必須	c=1 d=0.491644 t=1442
bian 	邊	c=1 d=0.99005 t=1442
bian dong 	變動	c=2 d=1.956 t=1442
bian hua 	變化	c=2 d=1.21089 t=1442
bian yi 	變異	c=9 d=3.31457 t=1442
bian yi qi 	編譯器	c=1 d=0.472367 t=1442
biao 	標	c=4 d=3.69263 t=1442
biao 	表	c=1 d=0.856415 t=1442
biao xian 	表現	c=2 d=1.17457 t=1442
bing 	並	c=3 d=1.08039 t=1442
bing 	冰	c=1 d=0.99005 t=1442
bing qie 	並且	c=5 d=2.88971 t=1442
bu 	不	c=2 d=1.66139 t=1442
bu duan 	不斷	c=1 d=0.371577 t=1442
bu neng 	不能	c=4 d=2.41361 t=1442
bu shi 	不是	c=3 d=1.97436 t=1442
bu tong 	不同	c=6 d=2.98195 t=1442
bu xing 	不幸	c=1 d=0.937067 t=1442
bu xu yao 	不需要	c=1 d=0.71177 t=1442
bu yao yong 	不要用	c=1 d=0.980199 t=1442
bu yuan 	不願	c=1 d=0.786628 t=1442
bu yun xu 	不允許	c=1 d=0.790571 t=1442
bu zhi dao 	不知道	c=1 d=0.97531 t=1442
cai 	才	c=2 d=1.58164 t=1442
cai shi chang 	菜市場	c=1 d=0.995012 t=1442
cao zuo 	操作	c=1 d=0.900325 t=1442
ce 	測	c=1 d=0.726149 t=1442
ce shi 	測試	c=7 d=4.60698 t=1442
chan sheng 	產生	c=8 d=3.14961 t=1442
chao guo 	超過	c=2 d=0.892627 t=1442
chao yue 	超越	c=1 d=0.625002 t=1442
cheng 	成	c=1 d=0.927743 t=1442
cheng gong 	成功	c=1 d=0.913931 t=1442
cheng qian 	成千	c=1 d=0.307279 t=1442
cheng shi 	程式	c=6 d=2.39075 t=1442
cheng shi ma 	程式碼	c=1 d=0.66034 t=1442
cheng wei 	成爲	c=1 d=0.565525 t=1442
chi 	喫	c=1 d=0.960789 t=1442
chong fu 	重複	c=2 d=1.97516 t=1442
chong xin 	重新	c=1 d=0.965605 t=1442
chou 	醜	c=1 d=0.927743 t=1442
chu 	出	c=1 d=0.755784 t=1442
chu fa 	觸發	c=2 d=1.14919 t=1442
chu kong 	觸控	c=1 d=0.995012 t=1442
chu li 	處理	c=1 d=1 t=1442
chuan tong 	傳統	c=5 d=1.93026 t=1442
ci 	次	c=8 d=4.87752 t=1442
ci shu 	次數	c=2 d=1.28925 t=1442
cong 	從	c=2 d=1.16532 t=1442
cun zai 	存在	c=1 d=0.472367 t=1442
cuo wu 	錯誤	c=2 d=1.64863 t=1442
da bu fen 	大部分	c=1 d=0.532592 t=1442
da cheng 	達成	c=1 d=0.810584 t=1442
da kai 	打開	c=0 d=0.0980199 t=1442
da liang 	大量	c=0 d=0.0856415 t=1442
da liang de 	大量的	c=1 d=0.860708 t=1442
da sheng 	大聲	c=1 d=0.980199 t=1442
dai biao 	代表	c=1 d=0.927743 t=1442
dai ce 	待測	c=2 d=0.904301 t=1442
dai hui lai 	帶回來	c=0 d=0.099005 t=1442
dai hui lai de 	帶回來的	c=1 d=0.995012 t=1442
dan 	但	c=5 d=1.61162 t=1442
dan ruo 	但若	c=1 d=0.65377 t=1442
dan shi 	但是	c=1 d=0.264477 t=1442
dang 	當	c=2 d=1.63748 t=1442
dang an 	檔案	c=4 d=2.73917 t=1442
dang qian 	當前	c=1 d=0.900325 t=1442
dao 	到	c=13 d=3.96453 t=1442
dao zhi 	導致	c=2 d=0.869223 t=1442
de 	的	c=151 d=31.4751 t=1442
de ci shu 	的次數	c=1 d=0.382893 t=1442
de e 	的額	c=1 d=0.941765 t=1442
de zhi 	得知	c=1 d=0.847894 t=1442
di 	低	c=1 d=0.778801 t=1442
di 	地	c=2 d=1.98012 t=1442
di le 	低了	c=1 d=0.597501 t=1442
di san 	第三	c=1 d=0.955997 t=1442
di san fang 	第三方	c=0 d=0.0985112 t=1442
di yi 	第一	c=1 d=0.57695 t=1442
dian 	點	c=2 d=1.49221 t=1442
dian shi ju 	電視劇	c=0 d=0.0980199 t=1442
dian shi li 	電視裏	c=0 d=0.099005 t=1442
ding yi 	定義	c=2 d=2.04071 t=1442
ding yi hao de 	定義好的	c=1 d=0.980199 t=1442
dou 	都	c=7 d=2.92256 t=1442
dou shi 	都是	c=1 d=0.941765 t=1442
dui 	對	c=5 d=2.31886 t=1442
dui yu 	對於	c=1 d=0.946485 t=1442
duo 	多	c=2 d=1.12346 t=1442
duo ci 	多次	c=2 d=0.919746 t=1442
duo dao 	多到	c=1 d=0.554327 t=1442
duo shao 	多少	c=1 d=0.895834 t=1442
duo yang hua 	多樣化	c=1 d=0.65377 t=1442
duo zhong 	多種	c=2 d=0.995012 t=1442
er 	而	c=9 d=3.2804 t=1442
er qie 	而且	c=1 d=0.524663 t=1442
fa 	發	c=1 d=0.794534 t=1442
fa piao 	發票	c=1 d=1 t=1442
fa xian 	發現	c=1 d=0.666977 t=1442
fa zhan 	發展	c=5 d=1.99177 t=1442
fan de sa 	范德薩	c=0 d=0.0980199 t=1442
fan dui 	反對	c=0 d=0.0995012 t=1442
fan fu 	反覆	c=1 d=0.499074 t=1442
fan xiang 	反向	c=1 d=0.860708 t=1442
fan yi 	翻譯	c=2 d=0.97531 t=1442
fang fa 	方法	c=3 d=1.57823 t=1442
fang jing dian 	防靜電	c=0 d=0.190722 t=1442
fang jing dian shen kao jia fang sheng da ku ji fen ka 	防靜電參考價放聲大哭計分卡	c=1 d=0.955997 t=1442
fang jing dian shou kong fang ji dian si kao 	防靜電守空房幾點思考	c=1 d=0.960789 t=1442
fang mian 	方面	c=2 d=1.54887 t=1442
fang sheng da ku 	放聲大哭	c=0 d=0.0951229 t=1442
fang shi 	方式	c=1 d=0.852144 t=1442
